"","sound","duration","voiced","ampl_mean","ampl_median","ampl_sd","amplVoiced_mean","amplVoiced_median","amplVoiced_sd","dom_mean","dom_median","dom_sd","entropy_mean","entropy_median","entropy_sd","f1_freq_mean","f1_freq_median","f1_freq_sd","f1_width_mean","f1_width_median","f1_width_sd","f2_freq_mean","f2_freq_median","f2_freq_sd","f2_width_mean","f2_width_median","f2_width_sd","f3_freq_mean","f3_freq_median","f3_freq_sd","f3_width_mean","f3_width_median","f3_width_sd","harmonics_mean","harmonics_median","harmonics_sd","HNR_mean","HNR_median","HNR_sd","loudness_mean","loudness_median","loudness_sd","medianFreq_mean","medianFreq_median","medianFreq_sd","peakFreq_mean","peakFreq_median","peakFreq_sd","peakFreqCut_mean","peakFreqCut_median","peakFreqCut_sd","pitch_mean","pitch_median","pitch_sd","pitchAutocor_mean","pitchAutocor_median","pitchAutocor_sd","pitchCep_mean","pitchCep_median","pitchCep_sd","pitchSpec_mean","pitchSpec_median","pitchSpec_sd","quartile25_mean","quartile25_median","quartile25_sd","quartile50_mean","quartile50_median","quartile50_sd","quartile75_mean","quartile75_median","quartile75_sd","specCentroid_mean","specCentroid_median","specCentroid_sd","specCentroidCut_mean","specCentroidCut_median","specCentroidCut_sd","specSlope_mean","specSlope_median","specSlope_sd"
"177","default-2017-04-20_20-20.wav",60.25,0.156081361560814,0.15268405582396,0.1509552350639,0.0142856931213203,0.169686016461502,0.166102445719988,0.0201859175779906,233.461359895328,220.099818511797,80.2051745494597,0.641100225971353,0.641881344632196,0.037102154044853,1246.72100498339,681.305,1750.34354044707,408.887029079379,415.474490756878,112.723239042254,4199.65616225305,3070.02,3337.67838326558,442.460099597164,491.24810536647,145.357002532464,6820.09309596179,5849.65,4025.90221397374,436.96569634396,486.155575042543,148.628904547052,12.5956165535835,12.718839367953,2.81786554669997,0.833140467112083,0.97804658051139,1.15680671789088,5.22330527605224,5.1873491974273,0.357464219279697,3833.47441754949,3741.69691470054,666.074175287039,522.803544295783,380.172413793103,624.686281228822,598.35116156976,460.208711433757,605.218048790875,187.787316701456,172.057998827066,65.2236989880426,220.5,220.5,NA,NA,NA,NA,143.354487057025,123.389292196007,61.1999341551223,444.244024404371,440.199637023593,53.5569659756779,1032.75560393096,980.444646098004,186.065263924891,2862.94732497973,2911.32032667877,265.893309788458,6143.08769824029,6146.41546055883,365.632417511186,1913.37917259626,1904.75795678089,148.579439507936,-0.00168567782673375,-0.0016609261384467,0.00035099750401411
"178","default-2017-04-20_20-30.wav",60.25,0.326691573266916,0.0884641894321092,0.0796285532296929,0.0278865822166521,0.112522971955866,0.0959848552034089,0.0380280076856689,225.903316284441,220.099818511796,74.5406669012679,0.618444601284023,0.63151660738014,0.0644143668649026,1258.75630245118,680.56,1465.49595276529,385.519288698564,408.63070756618,145.041056081819,3719.30292937735,3014.88,2629.88930678917,342.780055826511,404.75573191009,198.485712941989,6303.07916559692,5732.11,3724.80871202344,409.951470105319,461.75997631327,161.51389624039,10.2222351864925,10.776258191099,4.05477446804144,4.13516680360223,3.29498526135138,3.02184057725715,3.63589911169938,3.44437424299118,0.658194053557508,3816.09942810113,3761.70598911071,684.170521382099,1080.43185223484,420.19056261343,1141.32913275161,1160.46814987549,500.226860254083,1141.32913275161,456.116002129713,260.357102017982,505.182640492865,2654.93126598465,2756.25,115.457851797976,NA,NA,NA,861.102160198518,146.733212341198,1171.08428275758,601.975673201318,560.254083484574,204.79995166467,1994.62759174148,2180.9891107078,702.283560006819,2926.63858250103,2941.33393829401,170.407745280294,6214.8119909565,6244.15948636692,369.709792086206,2025.14092592796,2021.43574568233,169.915145112524,-0.000791263750821002,-0.000773811986765646,0.000170534462454732
"179","default-2017-04-20_20-40.wav",60.25,0.307181403071814,0.0928369590369313,0.0863339025757901,0.0232289518106376,0.114362831119485,0.10219669510102,0.0310822647907054,252.03189130266,250.113430127042,78.0135998521271,0.625986801451067,0.635599768247411,0.0590175604189761,1074.17283222591,681.215,1218.54290009811,379.407555720134,389.14670265255,126.59475151776,3640.80832083333,2988.025,2697.79611335305,343.779222216155,404.86227078871,197.908061257428,6233.26010660981,5623.91,3716.06702573777,409.187020514942,463.821420553173,164.100105403853,10.7961753107901,11.1067991430383,3.85465480538504,3.39894553186724,2.73550019608921,2.85026065092189,3.54572113960459,3.40673807695735,0.533523655554441,3795.6250263791,3741.69691470054,652.92930351735,1129.09179398979,440.199637023593,1165.67759421741,1209.12809163044,520.235934664247,1165.67759421741,404.133872577111,254.017769613782,383.690302332845,2660.07700324224,2756.25,114.77002989731,NA,NA,NA,770.894081373133,157.154605263158,1104.79212812776,605.166343748467,560.254083484574,177.209370421475,1895.91387894246,1980.89836660617,716.905392856556,2952.60932211703,2981.35208711434,170.018614415444,6229.35966284025,6242.26309511279,334.276088847202,2032.5050527288,2031.92619788666,166.37882839913,-0.000761115054575702,-0.000742179343669962,0.000161149340185167
"180","default-2017-04-20_20-50.wav",60.25,0.38107098381071,0.0936733774803982,0.0828429448700324,0.0319602742370389,0.118447609218268,0.101528864572925,0.0401729275963201,266.889330928246,260.117967332123,77.3996274083506,0.613326143720287,0.627215325608027,0.0689446513789932,920.750552325581,690.745,826.301297097109,367.269101193225,370.338553095978,120.873908762131,3205.44774636175,2914.29,1964.63466067366,316.814182786857,355.640394265971,203.498537445934,5669.39722947368,5552.59,3329.78524345997,373.188890863092,412.246998359731,171.330213063706,10.1351536127543,10.383436337769,4.22767644542519,3.57590331516765,2.88362123476195,3.36695527774626,3.6057458795132,3.38519752081291,0.695220101937013,3834.5629510826,3761.70598911071,746.530222208363,1319.91753893555,480.21778584392,1297.26428761951,1399.9538365762,560.254083484574,1297.26428761951,510.48389297,287.558211398771,526.411435385662,2644.13937988989,2756.25,191.252847536955,NA,NA,NA,942.150189263655,160.072595281307,1208.01411850519,650.076954556777,600.2722323049,200.576080409235,1994.86984448952,2160.98003629764,727.42489821194,2959.81726628945,3001.3611615245,205.414580957606,6212.27702108241,6252.28570332984,400.661847203688,2074.99499072737,2069.2005439897,187.317415792097,-0.00073642076428873,-0.000705207639346019,0.000186962436813313
"181","default-2017-04-20_21-00.wav",60.25,0.540058115400581,0.0780546917066633,0.0692150947035595,0.0272850071225698,0.0905138473821461,0.0778200716280134,0.0319409459386058,271.350976861857,280.127041742287,75.5788255825379,0.592182590703439,0.605284459239135,0.0686090708995259,810.703754152824,669.525,696.281748108963,356.612286608778,352.349223183861,109.361850368375,3178.692,2933.915,1861.75454286629,301.982579852622,293.504418043261,204.299393537895,5853.46707998307,5552.05,3382.82319266267,405.73136094792,454.436124487773,159.70877821534,11.0930957582555,11.2616923087691,3.50881287842073,2.57159421349462,1.4908246802822,2.91031861564611,3.38457598311331,3.1660764630691,0.688142977674122,3459.15183281982,3301.49727767695,590.262070990838,1162.2546743764,460.208711433757,1137.99251464585,1242.29097201705,540.24500907441,1137.99251464585,330.914746384393,239.030870826325,293.268749278577,2654.65166661844,2756.25,163.451593312476,NA,NA,NA,510.733901215629,145.065789473684,885.962132825533,552.302744921888,520.235934664247,138.637542866052,1627.56364293277,1380.62613430127,703.405928892442,2912.72757518647,2961.34301270417,192.427363876029,5975.44157482123,6002.72414950294,406.998346563981,1946.41980349821,1935.78844151966,173.020665416371,-0.000750919633650083,-0.000722966274937216,0.000191731095204861
"182","default-2017-04-20_21-10.wav",60.25,0.247820672478207,0.0742306792250874,0.0631371162772051,0.0292214950440076,0.110390597717692,0.0981810891832829,0.0403004884728732,242.782832865864,240.10889292196,68.7876642499698,0.636014327183857,0.659913223945189,0.074496304847574,1323.56024532225,737.41,1359.6355808708,396.775106108146,424.992093013657,146.037925531161,3674.77767714885,2989.59,2551.5927789878,342.602777796543,410.222677842143,198.760443602222,6451.82596063329,5707.33,3863.24494724824,406.601718603577,465.236634349314,165.356258725192,7.68623966095365,7.02424080335695,3.72814755415953,5.63148829015975,5.55067304891144,3.1393446217926,3.23044166122182,2.98032351096438,0.6741126295701,3989.39230468915,3981.8058076225,714.041612799639,1332.21547503482,460.208711433757,1304.11377109211,1412.25177267547,540.24500907441,1304.11377109211,788.87042167175,573.952852895342,624.064360214489,2644.85274767802,2756.25,146.453050748568,NA,NA,NA,1735.42408892359,2601.17967332123,1284.75548875573,768.656804895621,720.32667876588,229.165303501358,2460.47934773687,2581.17059891107,422.961843789356,2925.04514405056,2941.33393829401,161.672630277559,6336.85661269408,6358.98858448606,361.418397949356,2114.3535077648,2098.91820654292,156.230024512738,-0.000591330341213988,-0.000574803275061087,0.000132086186115145
"183","default-2017-04-20_21-20.wav",60.25,0.227065172270652,0.0866592552528833,0.0746490698071909,0.0319025965815964,0.130921171570109,0.121594774211914,0.0423658736391954,247.376157905227,240.10889292196,77.9090406284135,0.641977802383877,0.662528813064119,0.0760899073051207,1248.398997921,705.7,1546.57335917387,395.494699947979,409.290113040989,130.677547006053,3884.62339046823,2876.725,2708.57116915571,385.564655913602,468.973848590843,199.607626351538,6499.7727887083,5710.955,3776.717608939,442.241288373529,481.185495532368,140.94586410034,7.42245635758512,6.88260685401883,4.18943202254345,5.90428082685344,6.04177588346284,3.03493086492037,3.45309542799707,3.17487585557497,0.707179898525203,4086.95316127126,4061.84210526316,753.793125005218,1186.85885599122,460.208711433757,1210.72106948403,1266.89515363187,540.24500907441,1210.72106948403,897.288248862334,643.854619632053,757.39212011948,2649.35838582257,2756.25,149.596290815412,NA,NA,NA,1884.01886064244,2641.19782214156,1256.85442985988,797.107386603052,760.344827586207,230.667736461873,2486.86823359224,2621.1887477314,412.598893210589,2883.42833538489,2901.31578947368,178.687466391577,6370.38345315548,6385.38053268561,359.001778227277,2081.58848286207,2063.85367577666,168.01710277606,-0.000685216879465223,-0.000672086723854728,0.000137757587626362
"184","default-2017-04-20_21-30.wav",60.25,0.327521793275218,0.0865160000399478,0.0741377323255174,0.0327104473563448,0.117411488898993,0.10163260372876,0.0420179226988405,249.133964946125,240.10889292196,68.453798541972,0.621275617865859,0.640460001398216,0.0748247706440013,935.919754881595,671.04,1036.82644032913,362.291074121077,359.817644851033,120.532554009951,3506.95446488294,2802.44,2148.64515095399,345.570641925255,432.788910295539,211.430667923281,5908.2405216285,5607.87,3216.98421845019,423.382598017481,473.129686452041,153.310850165174,9.50710762122715,8.81452088904915,4.02151080787944,4.43630760461521,4.52245052929915,3.40337683799436,3.33174218886017,3.04817247336359,0.726070105021389,4099.50868927531,4041.833030853,887.945598983583,1352.35750010552,500.226860254083,1363.17133918058,1427.98759679748,580.263157894737,1355.12820410908,574.390170415572,369.244550576793,488.376383971722,2645.54643177068,2756.25,160.054182819761,NA,NA,NA,1261.84633549108,190.086206896552,1308.99569474914,676.656683665372,640.290381125227,198.898478545443,2132.95718810597,2461.11615245009,708.072777029449,2874.89062402959,2901.31578947368,220.378809896644,6325.52432706011,6346.88985267493,439.107469312428,2056.80652860643,2044.03307404206,189.799104951748,-0.000656722438931634,-0.000628837635830591,0.00016562941163884
